boro,reported,candidate,party,votes,scrape_time
Queens,98.65%,Grace Meng,(Democratic),111592,2024-11-07_14:16:54.685107
Queens,98.65%,Thomas J. Zmich,(Republican),65962,2024-11-07_14:16:54.685107
Queens,98.65%,Thomas J. Zmich,(Conservative),4604,2024-11-07_14:16:54.685107
Queens,98.65%,Joseph J. Chou,(TRUTH/TRUTH),3031,2024-11-07_14:16:54.685107
Queens,98.65%,WRITE-IN,,606,2024-11-07_14:16:54.685107
Total,,Grace Meng,(Democratic),111592,2024-11-07_14:16:54.685107
Total,,Thomas J. Zmich,(Republican),65962,2024-11-07_14:16:54.685107
Total,,Thomas J. Zmich,(Conservative),4604,2024-11-07_14:16:54.685107
Total,,Joseph J. Chou,(TRUTH/TRUTH),3031,2024-11-07_14:16:54.685107
Total,,WRITE-IN,,606,2024-11-07_14:16:54.685107
