boro,reported,candidate,party,votes,scrape_time
Bronx,96.81%,Antirson R. Ortiz,(Democratic),2137,2025-07-02_13:53:37.198499
Bronx,96.81%,Justin E. Sanchez,(Democratic),3437,2025-07-02_13:53:37.198499
Bronx,96.81%,Freddy Perez Jr.,(Democratic),1508,2025-07-02_13:53:37.198499
Bronx,96.81%,Elvis L. Santana,(Democratic),1351,2025-07-02_13:53:37.198499
Bronx,96.81%,WRITE-IN,,77,2025-07-02_13:53:37.198499
Total,,Antirson R. Ortiz,(Democratic),2137,2025-07-02_13:53:37.198499
Total,,Justin E. Sanchez,(Democratic),3437,2025-07-02_13:53:37.198499
Total,,Freddy Perez Jr.,(Democratic),1508,2025-07-02_13:53:37.198499
Total,,Elvis L. Santana,(Democratic),1351,2025-07-02_13:53:37.198499
Total,,WRITE-IN,,77,2025-07-02_13:53:37.198499
