boro,reported,candidate,party,votes,scrape_time
New York,97.20%,Alex Bores,(Democratic),37784,2024-11-13_13:14:33.012728
New York,97.20%,Awadhesh Gupta,(Republican),14180,2024-11-13_13:14:33.012728
New York,97.20%,Alex Bores,(Working Families),1670,2024-11-13_13:14:33.012728
New York,97.20%,WRITE-IN,,87,2024-11-13_13:14:33.012728
Total,,Alex Bores,(Democratic),37784,2024-11-13_13:14:33.012728
Total,,Awadhesh Gupta,(Republican),14180,2024-11-13_13:14:33.012728
Total,,Alex Bores,(Working Families),1670,2024-11-13_13:14:33.012728
Total,,WRITE-IN,,87,2024-11-13_13:14:33.012728
