boro,reported,candidate,party,votes,scrape_time
New York,99.00%,Kristen Gonzalez,(Democratic),28480,2024-11-13_13:14:09.009808
New York,99.00%,Kristen Gonzalez,(Working Families),2861,2024-11-13_13:14:09.009808
New York,99.00%,WRITE-IN,,337,2024-11-13_13:14:09.009808
Kings,99.00%,Kristen Gonzalez,(Democratic),18524,2024-11-13_13:14:09.009808
Kings,99.00%,Kristen Gonzalez,(Working Families),4669,2024-11-13_13:14:09.009808
Kings,99.00%,WRITE-IN,,220,2024-11-13_13:14:09.009808
Queens,99.00%,Kristen Gonzalez,(Democratic),30610,2024-11-13_13:14:09.009808
Queens,99.00%,Kristen Gonzalez,(Working Families),7225,2024-11-13_13:14:09.009808
Queens,99.00%,WRITE-IN,,526,2024-11-13_13:14:09.009808
Total,,Kristen Gonzalez,(Democratic),77614,2024-11-13_13:14:09.009808
Total,,Kristen Gonzalez,(Working Families),14755,2024-11-13_13:14:09.009808
Total,,WRITE-IN,,1083,2024-11-13_13:14:09.009808
