AD_num,reported,candidate,party,votes,scrape_time
AD   23,97.71%,YES,,22044,2024-11-13_13:15:04.506582
AD   23,97.71%,NO,,18448,2024-11-13_13:15:04.506582
AD   24,96.80%,YES,,21644,2024-11-13_13:15:04.506582
AD   24,96.80%,NO,,10213,2024-11-13_13:15:04.506582
AD   25,98.20%,YES,,15940,2024-11-13_13:15:04.506582
AD   25,98.20%,NO,,11546,2024-11-13_13:15:04.506582
AD   26,97.20%,YES,,24821,2024-11-13_13:15:04.506582
AD   26,97.20%,NO,,17148,2024-11-13_13:15:04.506582
AD   27,99.00%,YES,,17486,2024-11-13_13:15:04.506582
AD   27,99.00%,NO,,14253,2024-11-13_13:15:04.506582
AD   28,98.40%,YES,,24229,2024-11-13_13:15:04.506582
AD   28,98.40%,NO,,18241,2024-11-13_13:15:04.506582
AD   29,99.00%,YES,,28501,2024-11-13_13:15:04.506582
AD   29,99.00%,NO,,8742,2024-11-13_13:15:04.506582
AD   30,97.09%,YES,,16587,2024-11-13_13:15:04.506582
AD   30,97.09%,NO,,9012,2024-11-13_13:15:04.506582
AD   31,98.40%,YES,,21366,2024-11-13_13:15:04.506582
AD   31,98.40%,NO,,6417,2024-11-13_13:15:04.506582
AD   32,98.96%,YES,,25198,2024-11-13_13:15:04.506582
AD   32,98.96%,NO,,6876,2024-11-13_13:15:04.506582
AD   33,93.62%,YES,,29328,2024-11-13_13:15:04.506582
AD   33,93.62%,NO,,10164,2024-11-13_13:15:04.506582
AD   34,93.88%,YES,,18686,2024-11-13_13:15:04.506582
AD   34,93.88%,NO,,11586,2024-11-13_13:15:04.506582
AD   35,99.00%,YES,,15785,2024-11-13_13:15:04.506582
AD   35,99.00%,NO,,6239,2024-11-13_13:15:04.506582
AD   36,99.00%,YES,,23182,2024-11-13_13:15:04.506582
AD   36,99.00%,NO,,17293,2024-11-13_13:15:04.506582
AD   37,98.35%,YES,,21056,2024-11-13_13:15:04.506582
AD   37,98.35%,NO,,16842,2024-11-13_13:15:04.506582
AD   38,97.73%,YES,,17428,2024-11-13_13:15:04.506582
AD   38,97.73%,NO,,9946,2024-11-13_13:15:04.506582
AD   39,94.95%,YES,,14591,2024-11-13_13:15:04.506582
AD   39,94.95%,NO,,8584,2024-11-13_13:15:04.506582
AD   40,96.83%,YES,,12779,2024-11-13_13:15:04.506582
AD   40,96.83%,NO,,7816,2024-11-13_13:15:04.506582
AD   41,96.83%,YES,,16927,2024-11-13_13:15:04.506582
AD   41,96.83%,NO,,14672,2024-11-13_13:15:04.506582
AD   42,97.00%,YES,,20395,2024-11-13_13:15:04.506582
