boro,reported,candidate,party,votes,scrape_time
New York,98.96%,Elizabeth Lewinsohn,(Democratic),5619,2025-07-02_13:53:22.899662
New York,98.96%,Jess Coleman,(Democratic),3716,2025-07-02_13:53:22.899662
New York,98.96%,Eric Yu,(Democratic),2300,2025-07-02_13:53:22.899662
New York,98.96%,Christopher Marte,(Democratic),11366,2025-07-02_13:53:22.899662
New York,98.96%,WRITE-IN,,107,2025-07-02_13:53:22.899662
Total,,Elizabeth Lewinsohn,(Democratic),5619,2025-07-02_13:53:22.899662
Total,,Jess Coleman,(Democratic),3716,2025-07-02_13:53:22.899662
Total,,Eric Yu,(Democratic),2300,2025-07-02_13:53:22.899662
Total,,Christopher Marte,(Democratic),11366,2025-07-02_13:53:22.899662
Total,,WRITE-IN,,107,2025-07-02_13:53:22.899662
